,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
298,6,1989.0,164.97,16.72,8.08,3.06,-2.6,0
299,6,2495.0,143.48,29.34,9.5,4.63,-1.9,0
300,18,2495.0,91.92,33.69,15.02,4.55,-2.27,0
301,6,3379.0,124.39,33.45,9.59,4.84,,0
302,6,3901.0,146.34,26.74,9.04,4.24,-2.2,1
303,18,3901.0,99.87,46.58,13.07,4.97,-2.34,1
304,30,3901.0,75.56,42.79,16.3,4.52,-3.2,1
305,36,3901.0,83.73,32.04,12.5,3.93,-2.52,1
306,6,572.0,131.71,27.88,9.78,4.21,-1.97,0
307,6,1285.0,132.02,37.31,12.54,4.44,-2.6,1
308,6,1771.0,187.36,13.83,6.42,2.88,-3.16,1
309,6,2620.0,101.65,21.19,10.15,3.7,-1.68,0
310,6,3206.0,140.15,42.16,11.78,5.37,-2.42,1
311,6,3907.0,118.19,22.18,9.44,3.84,-2.5,0
312,6,850.0,,,,,-2.6,0
313,6,1179.0,131.89,49.35,13.77,5.63,-2.56,0
314,6,1949.0,,,,,-2.26,0
315,6,3856.0,139.8,24.0,8.68,4.0,-2.68,0
316,6,754.0,,,,,-2.24,1
317,30,754.0,121.34,56.0,19.42,4.62,-4.71,1
318,6,1147.0,,,,,-2.6,1
319,18,1147.0,110.01,50.48,16.02,4.71,-3.1,1
320,30,1147.0,111.23,32.7,11.73,3.76,-2.76,1
321,36,1147.0,133.69,26.74,11.25,3.7,-2.21,1
322,6,2341.0,122.56,41.53,10.82,5.11,-2.38,1
323,30,2341.0,104.18,39.02,13.31,4.5,-3.57,1
324,6,2469.0,97.84,33.54,10.0,4.82,-2.05,0
325,18,2469.0,77.3,21.77,7.99,3.96,-2.16,0
326,6,3607.0,146.56,51.73,12.25,5.97,,0
327,6,3846.0,129.7,38.6,11.73,4.94,-2.32,1
328,18,3846.0,,,,,-3.29,1
329,6,549.0,86.84,47.4,13.24,5.07,-2.0,0
330,6,1273.0,129.35,32.91,12.17,4.12,-2.7,0
331,6,2100.0,153.67,33.63,9.93,4.64,-1.8,0
332,6,2633.0,135.82,32.09,10.69,4.23,-2.27,0
333,6,3260.0,116.75,31.71,9.58,4.89,,0
334,6,3760.0,148.43,35.85,11.2,4.85,-2.2,1
335,6,801.0,,,,,-3.14,1
336,6,1117.0,,,,,-2.36,1
337,6,1820.0,97.67,77.64,14.37,7.66,-2.13,0
338,6,2558.0,116.54,37.97,11.61,5.06,-2.26,1
339,6,3439.0,96.97,27.17,9.72,4.56,,1
340,6,3866.0,119.26,27.32,10.39,3.53,-2.14,1
341,6,768.0,,,,,-2.94,0
342,6,1243.0,104.73,31.06,11.41,4.08,-2.35,1
343,18,1243.0,92.07,28.36,12.06,3.69,-2.42,1
344,30,1243.0,88.78,28.86,13.06,3.22,-4.52,1
345,36,1243.0,133.93,40.92,13.59,4.51,-1.78,1
346,6,1898.0,118.93,51.29,15.2,5.0,-1.94,0
347,18,1898.0,90.43,47.83,17.53,4.12,-2.59,0
348,6,2606.0,103.54,33.95,12.03,4.32,-1.85,0
349,18,2606.0,83.05,28.65,13.71,3.58,-2.92,0
350,6,3638.0,125.05,19.58,7.37,3.89,,1
351,36,3638.0,90.73,23.47,10.21,3.54,-0.63,1
352,6,3842.0,117.41,19.42,8.98,3.32,-3.46,0
353,18,3842.0,87.79,20.7,8.83,3.41,-2.72,0
354,6,444.0,135.8,29.65,11.52,3.94,-2.15,1
355,18,444.0,111.41,33.42,12.4,4.43,,1
356,30,444.0,,28.9,15.85,3.01,-3.48,1
357,36,444.0,86.83,34.65,17.4,3.24,-1.92,1
358,6,1272.0,97.97,55.96,14.46,5.96,-2.3,1
359,18,1272.0,,,19.52,4.54,-2.23,1
360,30,1272.0,66.6,47.92,18.35,3.98,-3.46,1
